"video_id","view_count","like_count","dislike_count","favorite_count","comment_count","published_date","category_id"
"J5NWsV7kJes",5562,4,0,0,2,"2007-10-21T10:30:02.000Z",24
"WbQ1uCcMZuQ",2258,1,0,0,0,"2011-02-20T22:09:12.000Z",24
"bPylk2vLia4",5221,8,4,0,3,"2011-07-02T17:58:31.000Z",24
"Kxi8MEVlW2M",5310,15,4,0,0,"2011-07-06T15:20:17.000Z",24
"iNw4EpNST3I",10349,28,3,0,9,"2012-11-12T18:00:28.000Z",24
"ivfS79h7xt4",5349,21,2,0,2,"2010-05-22T18:50:22.000Z",1
"S4DWz4d1Qzc",5718,10,1,0,2,"2012-04-02T13:22:59.000Z",24
"i9HUyD9xXb0",3834,13,0,0,3,"2012-11-10T21:24:45.000Z",24
"lkP5Ilf7ViU",10806,3,21,0,0,"2014-05-14T09:33:18.000Z",1
"MAJjZhRZ5-g",24413,36,2,0,16,"2011-02-23T22:04:21.000Z",24
"1m2l2nnSWn4",2075,2,0,0,2,"2009-02-12T18:09:34.000Z",24
"fWV3eS_JKvU",55937,315,16,0,74,"2009-03-22T09:35:25.000Z",22
"mxnkEUX0Zzw",25177,19,2,0,4,"2008-10-28T15:58:08.000Z",24
"Uteluak2cYs",7170,30,2,0,0,"2011-05-12T01:43:16.000Z",27
"Lc78zl-6lT4",2360,4,1,0,0,"2008-05-15T01:59:10.000Z",24
"s2XLZsiCBsA",291040,1021,19,0,135,"2009-04-03T18:23:47.000Z",22
"gIrqltJW0GY",1867,0,1,0,0,"2009-02-11T01:52:30.000Z",22
"4XKd2S18aUE",1360497,2034,131,0,361,"2009-04-19T12:52:29.000Z",1
"uiTFMGJP-uU",4598,5,0,0,3,"2013-10-28T00:48:25.000Z",24
"5ulgdJ2lZK0",1301,4,1,0,1,"2012-08-11T14:44:23.000Z",22
"eHpAo8dqkog",12053,78,1,0,8,"2012-05-02T15:50:09.000Z",10
"qQkoVVCzsfw",192794,85,33,0,7,"2012-12-15T07:58:24.000Z",24
"9OPWPtYLg4g",220071,317,20,0,16,"2011-08-21T17:54:23.000Z",24
"TvOAyNQvH94",1791,6,0,0,0,"2013-09-04T02:10:29.000Z",20
"hHcn5yNhVwo",8877,11,2,0,1,"2008-08-31T06:36:50.000Z",20
"U7hOSp58bDM",5090,10,0,0,2,"2012-01-15T22:45:18.000Z",1
"H6PvAJF2PFA",5941613,6249,697,0,576,"2014-08-25T03:47:36.000Z",1
"X_qsHvmwcIc",2811,4,0,0,0,"2007-09-25T16:08:42.000Z",24
"rGlO8fQn648",2816,6,0,0,8,"2014-09-28T18:19:29.000Z",24
"-w6u_aumZwg",5911,19,1,0,1,"2013-04-28T03:46:25.000Z",24
"-wMEd9Li2hQ",5302,13,0,0,2,"2014-05-30T21:03:33.000Z",24
"E_5gxjVHbmU",3146,5,0,0,0,"2012-02-28T08:26:12.000Z",28
"InrEVFqhugc",13551,19,4,0,0,"2014-12-16T16:36:00.000Z",22
"NMT5FJdd0Tk",11504,33,0,0,7,"2014-11-26T21:04:24.000Z",1
"mpjnVBTz3pI",2538,6,0,0,0,"2013-10-07T08:05:13.000Z",22
"-zD77tetavM",30848,87,9,0,11,"2015-05-09T12:11:56.000Z",22
"VqEfhO5ENrw",81362,252,3,0,169,"2007-10-27T10:40:39.000Z",1
"t1i7rxOd05s",4205,3,1,0,2,"2014-08-02T18:03:32.000Z",24
"2h3IaBWPFrk",1573,2,0,0,1,"2007-10-24T21:53:36.000Z",24
"K7X7-RUm3-g",1458,4,0,0,1,"2011-12-13T15:14:37.000Z",2
"ISF26kpwCkI",272353,257,20,0,30,"2012-04-26T10:59:27.000Z",1
"D1ksKSbRxfI",12689,9,1,0,1,"2015-08-12T12:57:41.000Z",20
"_HyDI1Kwx78",4933,NULL,NULL,0,4,"2008-05-16T07:35:35.000Z",27
"XtYgS2_S88Y",22885,55,3,0,17,"2009-05-28T22:18:08.000Z",2
"lV7tw1INw-w",11404,54,1,0,6,"2012-06-20T00:58:40.000Z",22
"lUgOH30pHQE",7193,69,2,0,6,"2012-11-09T14:52:27.000Z",2
"wGom0HvDg2A",6248,7,0,0,1,"2012-11-17T13:02:11.000Z",1
"TUgLaKvAX-Q",33277,140,7,0,44,"2011-12-23T09:30:00.000Z",24
"wV_3pxC89aw",3288,10,0,0,7,"2009-11-25T01:19:45.000Z",24
"VchefRzqgfg",11407,13,2,0,1,"2014-07-23T12:24:37.000Z",20
"boFqENXFS3A",545141,178,9,0,26,"2008-12-24T14:44:33.000Z",1
"9zpDhxieARA",30120,35,6,0,7,"2013-03-17T00:06:27.000Z",22
"8u5rmd5ebKM",56290,196,6,0,12,"2010-11-04T14:05:04.000Z",24
"dUWLZgCcQPQ",5283,17,1,0,5,"2008-04-11T03:02:32.000Z",24
"fQ4AMxs5mk4",2479,2,0,0,0,"2009-10-27T21:01:05.000Z",24
"DmPVqwLIUO4",14795,54,1,0,4,"2011-10-17T14:05:58.000Z",2
"zkyz5mMLdyQ",15016,35,1,0,2,"2015-06-17T22:52:14.000Z",24
"sCQQp81jxdk",26376,121,8,0,9,"2013-07-29T21:12:57.000Z",2
"x588RHPYJFY",10076,17,0,0,5,"2012-06-11T10:39:00.000Z",24
"FrmH3FRQklA",6067,19,0,0,3,"2013-05-31T20:12:11.000Z",24
"4iHoONfcAe4",6399,12,5,0,0,"2013-04-13T00:26:44.000Z",23
"JhE0SVGkPkA",1613,4,1,0,1,"2013-10-21T08:56:38.000Z",24
"ednTM8jwTrc",131036,210,7,0,11,"2011-04-23T16:15:27.000Z",10
"eKBP11SFbzI",5585,12,0,0,1,"2010-07-05T23:28:09.000Z",2
"aLRJrMuAlLo",7620,15,0,0,1,"2012-12-30T09:43:43.000Z",24
"tsmRsFf9lRY",5731,6,1,0,3,"2012-03-16T01:00:06.000Z",24
"WUovrcrbSZg",58986,106,11,0,7,"2012-04-19T08:36:24.000Z",10
"qADw8ScT084",5828,16,2,0,3,"2009-11-29T04:07:25.000Z",22
"fLdSeT6ZGPI",67837,136,7,0,7,"2013-04-22T05:28:09.000Z",24
"EAa6LaXi4Zc",28766,152,2,0,43,"2008-12-19T08:18:32.000Z",1
"XIj1krqoM84",1257,3,0,0,0,"2010-04-12T16:37:28.000Z",2
"KleVPyQwjIg",1832,2,0,0,0,"2012-01-22T08:29:28.000Z",2
"CfqNl6-MiFk",3809,14,2,0,2,"2012-11-01T15:48:52.000Z",22
"3b_AsBVp-qw",36874,112,9,0,85,"2009-11-29T16:56:46.000Z",24
"9fW686fV5g8",6897,98,0,0,18,"2015-04-01T23:21:53.000Z",22
"6Duwwhqua4A",188765,204,15,0,47,"2006-09-02T00:49:44.000Z",19
"ELQqkeyp4C0",26681,17,4,0,9,"2006-09-20T05:23:32.000Z",24
"9kmdZdGexQk",1244,0,0,0,0,"2010-05-13T19:15:10.000Z",22
"hR9Y3ymyy1k",4020,16,2,0,3,"2014-01-17T02:43:29.000Z",24
"8-pLfbQaJDk",39734,37,5,0,37,"2007-10-17T15:37:13.000Z",1
"DA7jXpFH6g8",3952,7,1,0,1,"2011-10-17T20:37:30.000Z",24
"PU4bDQT6KPc",10228,27,4,0,0,"2012-10-23T20:04:34.000Z",10
"PixSBb0Gdrs",6276,29,0,0,0,"2011-02-07T17:30:42.000Z",24
"dNZeqgzjsuc",9266,24,4,0,3,"2012-06-07T11:07:18.000Z",2
"vXzCkjJNrDs",3944,10,0,0,0,"2015-04-27T00:41:41.000Z",22
"WcSx-24Rrrc",11323,NULL,NULL,0,NULL,"2013-07-21T01:57:40.000Z",2
"M4DfwWMxtfw",2325,3,0,0,0,"2009-11-14T11:39:27.000Z",1
"pmdx3JC_Mxo",15752,12,1,0,7,"2010-08-20T00:44:37.000Z",22
"3YEbVL8PRK0",3052,5,0,0,3,"2010-03-15T00:11:51.000Z",23
"f2OalEiALsw",271271,385,66,0,86,"2010-11-09T00:50:52.000Z",24
"oNmTCuIV21Q",5924,15,2,0,2,"2011-12-24T02:55:46.000Z",19
"D4j0hzZM7J4",71722,54,14,0,5,"2013-06-05T12:40:12.000Z",10
"fI-Qpl7zZaA",4003,21,0,0,4,"2014-02-19T16:41:59.000Z",24
"42n-AG0odNE",6457,34,1,0,11,"2014-11-22T10:24:30.000Z",1
"s8ngsvw8mME",11966,35,1,0,5,"2010-10-06T12:03:39.000Z",22
"kezTRVnp52Q",631244,424,74,0,51,"2012-09-24T19:51:47.000Z",24
"Pl3Lhh2ZNfI",110903,186,15,0,31,"2011-08-11T01:30:08.000Z",23
"it3R-fGTRyA",4977,3,2,0,0,"2013-09-24T09:18:14.000Z",24
"MV1aJYKHvy4",3193,5,0,0,0,"2012-03-29T19:35:32.000Z",10
"ZFi5O8oJsa4",57270,61,11,0,0,"2015-04-20T22:21:18.000Z",1
"UoooycQ-wIo",34847,113,2,0,20,"2009-06-12T15:18:31.000Z",24
"Ibh2anFOWFI",19240,47,0,0,16,"2011-11-26T17:54:15.000Z",24
"vTqOeL3n1lk",7788,19,1,0,1,"2010-09-07T12:04:26.000Z",24
"jS4fyxqPbDY",10931,9,2,0,1,"2013-11-07T08:29:00.000Z",22
"-L5L7zvgPyc",35636,49,3,0,6,"2006-10-23T09:22:32.000Z",24
"UfDAFcsJJtw",4776,3,1,0,13,"2010-07-13T13:04:26.000Z",24
"yWFSpigxP2Y",7577,8,0,0,12,"2009-08-13T20:56:11.000Z",24
"GgXeJO-RGJ0",3333,8,0,0,0,"2014-02-23T01:17:23.000Z",24
"4U-J_phQFrg",9125,7,0,0,3,"2011-02-02T18:53:18.000Z",24
"yw9ir-Lb3Os",5167,41,1,0,0,"2013-11-22T01:18:02.000Z",24
"CFu6gk9tHzk",38567,34,2,0,3,"2010-07-16T10:23:45.000Z",2
"BCAbg-VcMns",20018,40,1,0,7,"2013-12-23T12:51:25.000Z",22
"8F8iSSwg9Jc",30980,50,10,0,22,"2011-04-24T21:58:22.000Z",24
"tJRZSXgDAPY",28631,21,10,0,14,"2009-12-11T22:19:46.000Z",24
"cZZSc3KrxJc",17255,51,8,0,1,"2012-11-11T10:50:14.000Z",23
"n8s_jAKwBDs",276013,376,38,0,92,"2013-02-23T10:40:39.000Z",2
"Lu3ODcPxLz4",1501,9,1,0,0,"2010-10-03T16:27:13.000Z",24
"5_DHJDfmhmg",1399,4,0,0,0,"2012-02-14T22:04:10.000Z",19
"w6n-TzlLVqs",37071,36,0,0,20,"2010-06-19T23:26:28.000Z",24
"Xz8LYje22Dk",5279,6,1,0,0,"2009-10-27T15:09:04.000Z",10
"BdPxflbbSSU",21267,48,5,0,2,"2012-04-22T17:17:35.000Z",1
"Ng26B9g3bUg",2421,23,0,0,3,"2013-11-16T13:30:31.000Z",24
"gGljEo-gGek",2117,4,0,0,1,"2014-06-14T01:37:13.000Z",22
"hmcnFOSLQzg",6035,23,7,0,3,"2013-12-10T13:29:32.000Z",29
"BSCIATQqYzM",12743,17,3,0,8,"2015-04-20T13:48:28.000Z",22
"v-ZyxVls_iM",32934,64,10,0,29,"2009-02-18T10:12:32.000Z",22
"BiUjxsVeKmM",3705,53,3,0,1,"2014-08-08T17:09:31.000Z",22
"Ee4vpSnvxug",39785,59,11,0,24,"2006-11-19T07:37:43.000Z",24
"E-V18DNwy8M",2766,12,0,0,0,"2014-02-03T16:19:20.000Z",10
"9DjZMxDjfCg",26156,65,9,0,37,"2009-04-15T11:00:04.000Z",24
"7tAXi0LC7ws",722486,2481,151,0,425,"2010-01-19T20:33:17.000Z",24
"AiADpyRBOB8",16670,24,2,0,19,"2008-04-19T15:20:02.000Z",24
"F42_add1lDQ",7783,16,3,0,0,"2015-01-06T12:00:36.000Z",10
"RCUOeVXgMGA",1133,2,0,0,2,"2008-11-14T15:46:17.000Z",24
"JDSPPSihuSY",1696,6,1,0,0,"2009-02-25T01:28:01.000Z",19
"qoye1v6SsHE",2514,15,0,0,12,"2010-03-20T18:29:22.000Z",24
"vdyW2OpvseY",5653,6,1,0,1,"2014-11-01T12:50:31.000Z",22
"8_LisWFdaKc",1380637,129,21,0,22,"2015-07-01T14:49:45.000Z",22
"DiUGUVyCIiQ",2684,4,1,0,3,"2011-07-22T00:40:08.000Z",24
"XwzRJm3ykUE",396489,874,125,0,147,"2012-03-13T07:57:28.000Z",24
"bWi1mx0L83E",1810,6,0,0,0,"2014-12-10T18:26:02.000Z",22
"t5DQ6dwb4IA",4079,21,4,0,0,"2012-05-26T20:03:25.000Z",23
"RkQpm3vCrug",17988,8,2,0,2,"2010-03-25T16:41:08.000Z",19
"wrrfNRvAJKI",46595,346,11,0,78,"2008-08-03T01:49:22.000Z",23
"IiX_PM0VDSc",4630,15,1,0,0,"2014-05-30T16:06:40.000Z",1
"uK-9HPCy8zE",4174,9,1,0,0,"2015-03-11T23:33:26.000Z",1
"3kcjOYJRtkc",2318,11,1,0,1,"2012-09-13T06:16:50.000Z",2
"dwT_pyiEEsM",11486,13,0,0,3,"2010-09-21T09:24:07.000Z",24
"2poJ6wQ9tzI",14599,17,2,0,1,"2011-02-20T23:39:45.000Z",24
"HJ_t5dTCgvg",28049,51,2,0,4,"2011-01-05T21:44:47.000Z",1
"AUc-kDZgiGc",9546,22,2,0,2,"2013-01-04T13:17:01.000Z",24
"s7XjR4s77z8",2930,5,0,0,0,"2012-05-10T00:09:31.000Z",24
"CnDdOXBf7fA",14581,47,2,0,8,"2014-11-10T23:31:42.000Z",28
"NwAA7pyali4",40929,90,8,0,5,"2015-08-20T07:48:04.000Z",28
"GZN15hka-Jc",1430,3,0,0,3,"2010-12-20T01:26:25.000Z",24
"D-sNx4dg_wg",11484,NULL,NULL,0,44,"2015-08-15T16:37:43.000Z",24
"ExYprrg8jXE",1494,0,0,0,2,"2011-05-07T13:24:48.000Z",24
"9gBtZ5uVnEY",2870,4,0,0,4,"2013-06-22T02:32:30.000Z",1
"Bj0mO-_uDJ4",2274,6,1,0,1,"2013-06-19T04:38:53.000Z",22
"jqJBQLE_Y80",36766,17,2,0,8,"2013-08-22T00:29:03.000Z",24
"VSAqW6H5eAI",3208,8,1,0,3,"2011-09-14T19:50:22.000Z",24
"L5Ic44bcmtE",11227,41,0,0,4,"2007-12-19T07:42:34.000Z",24
"S1jhDK0uKwE",3304,10,1,0,0,"2013-04-25T05:59:36.000Z",10
"Wk6U_niu6Zw",7377,14,0,0,0,"2014-10-24T15:00:12.000Z",20
"CGeSoY9HX24",2389,8,0,0,1,"2011-01-12T00:02:02.000Z",17
"59UKsOVwEpo",17926,42,6,0,10,"2013-02-02T09:13:33.000Z",24
"2hHvT9VAm3s",3405,2,2,0,1,"2011-07-19T02:23:05.000Z",24
"eUxzWAuPs0M",1283,0,0,0,0,"2011-03-21T16:40:37.000Z",10
"cEh20LxbHgE",12179,24,1,0,2,"2014-08-21T07:04:57.000Z",22
"bhOL-5F6CMs",8696,19,1,0,8,"2012-02-06T12:36:11.000Z",24
"dERLaBpCvKo",4426,4,1,0,0,"2011-02-16T19:25:05.000Z",24
"qFPaqcKgjnA",1827,0,0,0,3,"2011-12-06T13:52:35.000Z",24
"TiWx8OEElvk",40278,11,2,0,2,"2009-08-28T07:05:23.000Z",1
"kTlKf3NTBF0",6673,14,0,0,18,"2011-08-30T03:00:25.000Z",24
"A6N5gBwF8Vs",2879,12,0,0,0,"2011-09-20T19:25:17.000Z",24
"w0oJEF3p8AQ",9020,30,1,0,0,"2010-01-24T08:21:05.000Z",24
"-1ZDhv6QNJ8",6173,91,0,0,21,"2015-05-29T18:11:02.000Z",24
"jdEra599Cnc",27130,38,8,0,8,"2012-09-13T09:17:54.000Z",2
"KQrCWy3zbIM",53459,94,8,0,20,"2013-08-10T09:54:58.000Z",1
"Ft7Vi3tEjCc",10469,18,4,0,0,"2006-11-15T14:31:45.000Z",15
"TdCdJRjiRBg",115111,272,8,0,13,"2013-09-19T22:24:54.000Z",1
"bS_r5NLNnQY",2799,11,0,0,6,"2011-09-21T02:16:20.000Z",24
"eQRGfTcEQfw",11768,28,2,0,2,"2014-10-12T00:00:34.000Z",20
"hZzh7Z1IXj0",11193,42,4,0,8,"2014-07-27T05:41:31.000Z",24
"m3GQkCzJygU",123498,187,23,0,163,"2009-07-04T10:24:25.000Z",24
"t0nK1Ee5vz0",2643,2,0,0,0,"2007-04-27T19:01:23.000Z",23
"ztnvOeK5UfM",9421,16,0,0,1,"2010-05-16T06:59:08.000Z",24
"7kMyEPmBxCI",4219,2,0,0,1,"2008-11-21T00:43:14.000Z",24
"8fbaUC44iHk",4413,2,1,0,2,"2011-03-18T01:00:21.000Z",24
"FiAZJxCfv8E",4097,2,0,0,1,"2008-09-14T17:28:45.000Z",26
"5XEUYX9O85Y",2392,3,2,0,1,"2013-01-05T13:55:54.000Z",24
"i4YkU54_Vsg",3753,4,0,0,3,"2008-01-10T19:11:18.000Z",24
"0-CszXtGszg",3729,1,1,0,0,"2012-11-11T23:32:30.000Z",24
"qzA1zR3VC1g",12603,31,2,0,4,"2012-04-10T12:47:23.000Z",27
"AvDGa5kBWoY",2533,5,0,0,1,"2013-03-31T00:17:42.000Z",24
"ekBRWm8ZtNg",23466,24,1,0,9,"2008-05-12T07:58:28.000Z",1
"sMcbLeyeZws",1473,NULL,NULL,0,NULL,"2010-10-20T04:09:44.000Z",24
"JLr_tStRAQs",19030,50,1,0,1,"2014-10-18T01:25:04.000Z",24
"c2OeMEgCu3A",1318,0,1,0,0,"2008-03-25T19:49:03.000Z",23
"rTQ2cg5Uzdg",49217,41,3,0,18,"2008-11-19T23:48:29.000Z",24
"vTZpuBTPxy4",7991,101,14,0,10,"2015-08-11T07:15:08.000Z",22
"WXEiCbXVmkQ",2061,8,0,0,2,"2011-11-15T22:40:37.000Z",27
"M2dQd4SYQp4",15059,16,0,0,2,"2012-07-22T20:36:35.000Z",24
"EMdzQaOIhfA",34697,230,7,0,19,"2013-09-26T08:24:30.000Z",22
"mKhMVbgeUe4",20459,16,2,0,16,"2009-01-31T22:06:38.000Z",24
"F4858sE5ZdY",1229,1,1,0,0,"2010-10-10T01:39:48.000Z",24
"rNsuxlPHQQI",10067,8,3,0,0,"2010-10-14T23:22:31.000Z",24
"pA4wM2qWBTw",104976,1628,16,0,229,"2015-06-22T14:00:02.000Z",24
"Z5KEu5WvdnE",60633,126,8,0,52,"2008-12-28T07:14:06.000Z",24
"_ECiMgqn-2c",3322,3,0,0,0,"2011-05-29T04:56:37.000Z",24
"x0Iu9lJkCyY",7176,44,9,0,5,"2013-08-02T11:34:13.000Z",24
"MTea1dEA7fA",1442,6,1,0,0,"2009-05-04T19:23:12.000Z",19
"6rO_R0Od65U",2371,12,3,0,2,"2008-01-29T02:09:45.000Z",24
"llqa_ua13Ck",5279,8,1,0,2,"2007-02-16T21:16:56.000Z",24
"7DeY4JjOLyw",69318,38,9,0,13,"2011-05-25T01:14:06.000Z",24
"tcyXFNp7u_A",2626,3,0,0,0,"2011-12-26T00:24:15.000Z",24
"uCnsbHyExdU",3438,5,0,0,0,"2010-05-13T21:25:13.000Z",24
"Djmd6e8X2rg",4051,5,1,0,3,"2011-12-20T00:32:09.000Z",24
"JNU7zN_3t5g",1483,1,1,0,0,"2008-06-12T12:22:24.000Z",24
"-GDOxbmKyo4",3404,2,2,0,1,"2012-08-21T00:08:43.000Z",24
"-RbUpcjGJN4",2746,5,0,0,0,"2012-03-27T09:20:44.000Z",27
"DnFdX41Gb2c",121321,222,23,0,75,"2009-05-30T12:11:51.000Z",24
"ZD7s5K4Yw-E",1601,10,3,0,0,"2014-08-22T12:00:05.000Z",25
"CfvG4l7-E8E",2927,24,1,0,2,"2014-02-15T12:50:20.000Z",10
"GZbLf66o9jA",670524,156,42,0,22,"2009-12-19T00:37:19.000Z",24
"7buKuwwpW-Q",3078,7,1,0,6,"2008-04-11T04:48:12.000Z",24
"QV3u5h5NoP8",46556,117,6,0,12,"2006-09-23T01:59:29.000Z",23
"FLGWP_mvDHk",49141,163,2,0,28,"2007-03-08T12:44:02.000Z",1
"oZu6Fd-EweY",29305,72,4,0,5,"2012-06-24T23:44:32.000Z",27
"7Sx3XVOjmU8",28990,36,12,0,5,"2012-01-07T07:52:43.000Z",24
"MD6W_7kdnmI",18947,22,1,0,0,"2009-10-27T16:55:11.000Z",2
"rPtibnyV11A",8291,21,0,0,6,"2008-05-22T09:01:04.000Z",24
"PNv2tDL4eOQ",1280135,19841,295,0,5351,"2015-06-30T00:05:52.000Z",20
"grAw8ou1w2w",11996,55,1,0,3,"2015-01-22T05:37:07.000Z",29
"AL5_eSowaBg",3630,3,1,0,1,"2014-06-23T09:53:49.000Z",22
"y37pBp1qMZY",650054,764,133,0,245,"2014-04-07T03:42:36.000Z",27
"2u5mHzlu7Lc",29325,60,1,0,4,"2013-12-24T15:12:37.000Z",22
"z3fhG5LrPTQ",1107,0,0,0,0,"2010-08-31T14:20:15.000Z",22
"D_0lofFHIm0",585684,394,95,0,29,"2011-03-21T08:09:49.000Z",22
"5OTLbKzhJ-8",10497,15,5,0,4,"2009-12-11T14:39:57.000Z",2
"f0lvcflEt0o",4754,3,1,0,0,"2013-10-22T07:22:39.000Z",22
"L46lRFG_SZQ",9007,7,6,0,7,"2014-05-14T09:41:30.000Z",24
"Xikw3pkC5Lk",6077,38,5,0,18,"2011-10-08T15:35:19.000Z",24
"1fUxLbv99lg",1384,3,1,0,0,"2007-01-15T12:52:19.000Z",24
"_ti4G7KJJ4o",2809,5,0,0,0,"2011-08-21T21:23:23.000Z",24
"eNqTnIsNx3Y",148308,916,15,0,57,"2013-04-30T16:24:44.000Z",24
"iOHorJ2vyp4",73917,84,171,0,61,"2009-09-01T02:33:18.000Z",23
"Z-vxI5OY55U",287195,931,14,0,118,"2012-05-19T16:08:10.000Z",17
"q7vmDu2ep1E",63640,145,6,0,45,"2012-06-20T03:49:21.000Z",24
"R1RzpEzs1EY",7499,28,0,0,9,"2010-07-27T01:50:05.000Z",22
"LgW7xfN2WXU",27514,50,4,0,10,"2012-07-10T14:29:32.000Z",1
"jnzblAAab_k",1996,1,0,0,0,"2013-04-12T14:25:37.000Z",24
"AW-cAjmX6EE",2441,8,0,0,0,"2013-04-23T11:35:05.000Z",24
"agxZE1gFfeo",2418,2,1,0,0,"2011-10-02T13:13:02.000Z",24
"_KH0lnuWOCk",3951,31,1,0,4,"2015-03-21T01:44:06.000Z",24
"ItSKiAsqFVo",119446,75,4,0,2,"2014-04-03T07:42:33.000Z",22
"gwntwJkI9FY",461556,3826,157,0,73,"2015-01-03T00:44:22.000Z",24
"OMnJyL_98cw",6105,8,0,0,4,"2010-09-09T14:20:51.000Z",24
"v_ahi4maGew",18942,59,1,0,23,"2007-02-02T09:25:12.000Z",24
"00NiD8vdD5Q",3031,2,0,0,0,"2008-07-02T09:35:57.000Z",19
"rePKcjVOyn0",2275,2,1,0,0,"2010-06-21T12:45:53.000Z",19
"8-dAyEBP3yw",4284,21,0,0,1,"2013-12-30T10:12:57.000Z",28
"oZ4EeeWQTR0",12232,33,0,0,13,"2011-02-06T13:50:09.000Z",24
"PrgF73a-ZJE",24255,91,6,0,18,"2015-01-11T15:59:38.000Z",24
"icWAdRhgDOs",11627,64,4,0,20,"2012-07-11T20:40:14.000Z",24
"hrtdEzxvQiM",176891,1447,21,0,23,"2015-06-01T15:18:11.000Z",15
"RA-1f2gkD00",6972,6,0,0,2,"2009-11-10T17:10:07.000Z",22
"xdhT6PztGP0",52985,65,7,0,33,"2007-06-30T06:39:16.000Z",24
"VTsaZqIy_Tw",4468,12,1,0,1,"2010-01-23T14:05:02.000Z",24
"IuoQLmoYxI4",9104,4,6,0,4,"2008-03-11T16:06:28.000Z",23
"caYtgqrYJXY",5845,25,4,0,8,"2010-10-03T20:00:40.000Z",23
"Ia6HO7d_Vso",4773,57,5,0,15,"2012-08-07T11:36:39.000Z",20
"q77M9QcwJdI",19891,463,32,0,31,"2014-09-06T12:34:36.000Z",17
"Z3ctrwHNu0Q",457400,4474,91,0,117,"2014-09-06T13:27:46.000Z",24
"49f37btV0zA",32917,20,7,0,4,"2011-12-06T10:34:58.000Z",25
"6VaPMu3ANco",2231,0,0,0,0,"2010-11-04T06:09:41.000Z",26
