video_id,view_count,like_count,dislike_count,favorite_count,comment_count,published_date,title,category_id
IV_LZptUF6s,283616,982,39,0,98,2006-10-07T16:56:41.000Z,Fatboy Slim - The Joker,15
9gW0-d7TQ-c,4086,21,1,0,6,2014-07-17T17:14:22.000Z,Рекламный блок на канале РТР 1998-99 год.,10
QIy6E7MITcU,4433,3,1,0,1,2012-05-04T14:17:41.000Z,Channel 4 Adverts 2009 (30),24
QCfhHaw9Z9I,29279,397,4,0,34,2011-09-02T14:04:46.000Z,Conan Voice Actors (loud audio),24
aznmV2U4-Zc,6208,12,0,0,5,2012-05-27T17:18:26.000Z,Блок Рекламы 8 (ОРТ) 1999г,1
xCrvYn1QIn4,3685,4,0,0,7,2011-12-05T14:21:18.000Z,LWT Adverts 1993 (26),24
SYavSusOK6g,5451,3,8,0,0,2009-09-28T13:42:57.000Z,TAC commercial Drink Driving,24
jFOJxkxQKEA,3792,3,3,0,1,2008-07-15T19:37:55.000Z,The Funny Halifax Advert,10
n4w-gT1l88s,2809,1,0,0,5,2011-02-16T14:30:48.000Z,LWT Adverts 1995,24
YIMSrO3sn3s,9953,26,1,0,19,2010-07-01T02:24:33.000Z,"Christmas 1983 Commercial Block December 23\, 1983 pt1",24
CnlZuvWnuMk,30372,80,5,0,16,2012-09-01T18:17:09.000Z,Régi reklámok 18.:  90-es évek vége,24
J5NWsV7kJes,5562,4,0,0,2,2007-10-21T10:30:02.000Z,Meridian TV Adverts - August 1997 2,24
WbQ1uCcMZuQ,2258,1,0,0,0,2011-02-20T22:09:12.000Z,5-2-1997 NBC/WMAQ commercials (part 17),24
bPylk2vLia4,5221,8,4,0,3,2011-07-02T17:58:31.000Z,Independence Day: ad tribute to American patriotism,24
Kxi8MEVlW2M,5310,15,4,0,0,2011-07-06T15:20:17.000Z,【CM】　嵐　アンドロイドAU,24
iNw4EpNST3I,10349,28,3,0,9,2012-11-12T18:00:28.000Z,COMERCIALES MEXICO 2003 (6).,24
ivfS79h7xt4,5349,21,2,0,2,2010-05-22T18:50:22.000Z,Russian TV Commercials 94-95,1
S4DWz4d1Qzc,5718,10,1,0,2,2012-04-02T13:22:59.000Z,Channel 4 Adverts 2005 (3),24
i9HUyD9xXb0,3834,13,0,0,3,2012-11-10T21:24:45.000Z,TV3 Reklam 1991-11-10,24
lkP5Ilf7ViU,10806,3,21,0,0,2014-05-14T09:33:18.000Z,Jennifer Aniston :: joins Owen Wilson comedy 'She's Funny That Way' - Movies News,1
MAJjZhRZ5-g,24413,36,2,0,16,2011-02-23T22:04:21.000Z,Nickelodeon Commercial Break 14 - February 1998,24
1m2l2nnSWn4,2075,2,0,0,2,2009-02-12T18:09:34.000Z,WUAB Commercials July 1990 Part 3,24
fWV3eS_JKvU,55937,315,16,0,74,2009-03-22T09:35:25.000Z,Joe Camel Commercial from TV Funhouse,22
mxnkEUX0Zzw,25177,19,2,0,4,2008-10-28T15:58:08.000Z,2001/4　Japanese CM　part1,24
Uteluak2cYs,7170,30,2,0,0,2011-05-12T01:43:16.000Z,Cor na Publicidade,27
Lc78zl-6lT4,2360,4,1,0,0,2008-05-15T01:59:10.000Z,WJW commercials 1988 part 15,24
s2XLZsiCBsA,291040,1021,19,0,135,2009-04-03T18:23:47.000Z,Funeral TVC commercial,22
gIrqltJW0GY,1867,0,1,0,0,2009-02-11T01:52:30.000Z,ANNICA RODOLICO dagli spot della TIM,22
4XKd2S18aUE,1360497,2034,131,0,361,2009-04-19T12:52:29.000Z,平成仮面ライダー サブライダー玩具CM集,1
uiTFMGJP-uU,4598,5,0,0,3,2013-10-28T00:48:25.000Z,May 1996 Pay TV Promos #3,24
5ulgdJ2lZK0,1301,4,1,0,1,2012-08-11T14:44:23.000Z,BERNAS   Hari Raya 2012 The Journey TV Commercial English Subs,22
eHpAo8dqkog,12053,78,1,0,8,2012-05-02T15:50:09.000Z,GEORGE CLINTON BIO 2/6,10
qQkoVVCzsfw,192794,85,33,0,7,2012-12-15T07:58:24.000Z,(August 2001) Nick Jr. Commercial Break 8/13,24
9OPWPtYLg4g,220071,317,20,0,16,2011-08-21T17:54:23.000Z,いいなCM　サッポロ　オフの贅沢　麻生久美子 大森南朋 永山絢斗,24
TvOAyNQvH94,1791,6,0,0,0,2013-09-04T02:10:29.000Z,Original Digimon - Toy commercial - TV Commercial - TV Advert - TV Spot - JPN,20
hHcn5yNhVwo,8877,11,2,0,1,2008-08-31T06:36:50.000Z,playstation cm,20
U7hOSp58bDM,5090,10,0,0,2,2012-01-15T22:45:18.000Z,ClassNick - Commercial Break #3,1
H6PvAJF2PFA,5941613,6249,697,0,576,2014-08-25T03:47:36.000Z,PETRONAS Merdeka and Malaysia Day 2014: #AWalkThroughTime,1
X_qsHvmwcIc,2811,4,0,0,0,2007-09-25T16:08:42.000Z,MOTO RAZR2 Brand Video,24
rGlO8fQn648,2816,6,0,0,8,2014-09-28T18:19:29.000Z,"Tanda Comercial TVN\, Agosto 1995 - 01/04",24
#NAME?,5911,19,1,0,1,2013-04-28T03:46:25.000Z,Bloque de Anuncios de Antena 3 - Año 1992 (1),24
#NAME?,5302,13,0,0,2,2014-05-30T21:03:33.000Z,"Tanda Comercial Canal 13\, Junio 1991 - 03/04",24
E_5gxjVHbmU,3146,5,0,0,0,2012-02-28T08:26:12.000Z,50 Jahre Leifheit - Leifheit im Wandel der Zeit (die Werbeklassiker),28
InrEVFqhugc,13551,19,4,0,0,2014-12-16T16:36:00.000Z,Rede Globo - Intervalo Comercial - Império Dezembro 2014 - Parte 2,22
NMT5FJdd0Tk,11504,33,0,0,7,2014-11-26T21:04:24.000Z,KTHV news opens,1
mpjnVBTz3pI,2538,6,0,0,0,2013-10-07T08:05:13.000Z,Expodetergo 2014 - Spot promozionale,22
#NAME?,30848,87,9,0,11,2015-05-09T12:11:56.000Z,ฝ่ามิติลิขิตสวรรค์กับโฆษณา,22
VqEfhO5ENrw,81362,252,3,0,169,2007-10-27T10:40:39.000Z,Digimon Commercials Fox Kids,1
t1i7rxOd05s,4205,3,1,0,2,2014-08-02T18:03:32.000Z,Tanda Comercial TVN @ Lunes 11 de noviembre de 1991 (05/05),24
2h3IaBWPFrk,1573,2,0,0,1,2007-10-24T21:53:36.000Z,WKYC/NBC promos and local spots part 2,24
K7X7-RUm3-g,1458,4,0,0,1,2011-12-13T15:14:37.000Z,九州新幹線開業CM,2
ISF26kpwCkI,272353,257,20,0,30,2012-04-26T10:59:27.000Z,L'Amour extra large ( bande annonce VF ),1
D1ksKSbRxfI,12689,9,1,0,1,2015-08-12T12:57:41.000Z,Opening to Bedknobs and Broomsticks 1991 VHS,20
_HyDI1Kwx78,4933,NULL,NULL,0,4,2008-05-16T07:35:35.000Z,Channel 4 Ad Break - May 1991 (3),27
XtYgS2_S88Y,22885,55,3,0,17,2009-05-28T22:18:08.000Z,DMC-44 - The DeLorean off-road vehicle,2
lV7tw1INw-w,11404,54,1,0,6,2012-06-20T00:58:40.000Z,El Mejor Trabajo del Mundo   P G Juegos Olímpicos de London 2012 - YouTube.flv,22
lUgOH30pHQE,7193,69,2,0,6,2012-11-09T14:52:27.000Z,Eisenbahn - ÖBB Werbung in den 90ern und als Modell im MECL Landshut  by  EarvEnterprises,2
wGom0HvDg2A,6248,7,0,0,1,2012-11-17T13:02:11.000Z,Push Pan,1
TUgLaKvAX-Q,33277,140,7,0,44,2011-12-23T09:30:00.000Z,The Christmas Commercial,24
wV_3pxC89aw,3288,10,0,0,7,2009-11-25T01:19:45.000Z,TVS | Continuity and adverts | 01/01/1990 (New Years Day),24
VchefRzqgfg,11407,13,2,0,1,2014-07-23T12:24:37.000Z,懐かしゲームCM集6 　ロックマン8　ブシドーブレード　ほか,20
boFqENXFS3A,545141,178,9,0,26,2008-12-24T14:44:33.000Z,Before Valentine - Tralier,1
9zpDhxieARA,30120,35,6,0,7,2013-03-17T00:06:27.000Z,Kids WB Commercial Break 2005 #2,22
8u5rmd5ebKM,56290,196,6,0,12,2010-11-04T14:05:04.000Z,Jaccs card cm 由佳と和也篇 1-6 ＋その後,24
dUWLZgCcQPQ,5283,17,1,0,5,2008-04-11T03:02:32.000Z,KTXL Commercial Break 1 - 1980,24
fQ4AMxs5mk4,2479,2,0,0,0,2009-10-27T21:01:05.000Z,los mejores comerciales del año,24
DmPVqwLIUO4,14795,54,1,0,4,2011-10-17T14:05:58.000Z,ホンダCMソング『君にわかるはずがない』,2
zkyz5mMLdyQ,15016,35,1,0,2,2015-06-17T22:52:14.000Z,Реклама Интер 2008 (ч.4),24
sCQQp81jxdk,26376,121,8,0,9,2013-07-29T21:12:57.000Z,"Publicidad Clio \pacto con el Diablo\""""",2
x588RHPYJFY,10076,17,0,0,5,2012-06-11T10:39:00.000Z,Propagandas colombianas - Años 90,24
FrmH3FRQklA,6067,19,0,0,3,2013-05-31T20:12:11.000Z,Anuncios Antena3 1996(4),24
4iHoONfcAe4,6399,12,5,0,0,2013-04-13T00:26:44.000Z,Videos grasioso,23
JhE0SVGkPkA,1613,4,1,0,1,2013-10-21T08:56:38.000Z,キム・テヒ、PNS CMメイキング 2013.10.21,24
ednTM8jwTrc,131036,210,7,0,11,2011-04-23T16:15:27.000Z,Happiness フレンズ[Friends] Dance Solo,10
eKBP11SFbzI,5585,12,0,0,1,2010-07-05T23:28:09.000Z,Kia Carnival Advertisement,2
aLRJrMuAlLo,7620,15,0,0,1,2012-12-30T09:43:43.000Z,Australian ads/promos 1 (2002),24
tsmRsFf9lRY,5731,6,1,0,3,2012-03-16T01:00:06.000Z,E4 Adverts 2007 (4),24
WUovrcrbSZg,58986,106,11,0,7,2012-04-19T08:36:24.000Z,【PV】ほっぺにブルーシール / らぐぅん [公式],10
qADw8ScT084,5828,16,2,0,3,2009-11-29T04:07:25.000Z,Red Bull TV Commercial - 1994 Manila,22
fLdSeT6ZGPI,67837,136,7,0,7,2013-04-22T05:28:09.000Z,Реклама на СТС (май 1998) #3,24
EAa6LaXi4Zc,28766,152,2,0,43,2008-12-19T08:18:32.000Z,G.I.Joe Marvel comics animation commercial Pt1,1
XIj1krqoM84,1257,3,0,0,0,2010-04-12T16:37:28.000Z,Volkswagen Polo,2
KleVPyQwjIg,1832,2,0,0,0,2012-01-22T08:29:28.000Z,"VW UP Concept Spied\, Audi S5 on Facebook\, and Volkswagen Turbo Diesel Beetle - CBT News",2
CfqNl6-MiFk,3809,14,2,0,2,2012-11-01T15:48:52.000Z,Реклама РТР 1999г. (2),22
3b_AsBVp-qw,36874,112,9,0,85,2009-11-29T16:56:46.000Z,BLOQUE DE COMERCIALES MEXICO 1999 EN TV AZTECA CANAL 7,24
9fW686fV5g8,6897,98,0,0,18,2015-04-01T23:21:53.000Z,Commercials(Edited)#2,22
6Duwwhqua4A,188765,204,15,0,47,2006-09-02T00:49:44.000Z,US Airways Boeing 737-400 Safety Video,19
ELQqkeyp4C0,26681,17,4,0,9,2006-09-20T05:23:32.000Z,Anuncios antiguos IBERTREN scalextric de www.trenminiatura.es,24
9kmdZdGexQk,1244,0,0,0,0,2010-05-13T19:15:10.000Z,«Мармадюк Marmaduke» Трейлер,22
hR9Y3ymyy1k,4020,16,2,0,3,2014-01-17T02:43:29.000Z,Tanda Comercial etc...TV (Enero 2007),24
8-pLfbQaJDk,39734,37,5,0,37,2007-10-17T15:37:13.000Z,COMERCIALES COLOMBIANOS NAVIDAD  1993,1
DA7jXpFH6g8,3952,7,1,0,1,2011-10-17T20:37:30.000Z,The Hub commercial break-part 1,24
PU4bDQT6KPc,10228,27,4,0,0,2012-10-23T20:04:34.000Z,iPad mini PV日本語字幕とTVCM！！,10
PixSBb0Gdrs,6276,29,0,0,0,2011-02-07T17:30:42.000Z,咖啡杯上的唇印.wmv,24
dNZeqgzjsuc,9266,24,4,0,3,2012-06-07T11:07:18.000Z,2012 Isuzu D-Max Extended TV ad.mp4,2
vXzCkjJNrDs,3944,10,0,0,0,2015-04-27T00:41:41.000Z,TAC21「あかもく醤油」ドキュメンタリーCM,22
WcSx-24Rrrc,11323,NULL,NULL,0,NULL,2013-07-21T01:57:40.000Z,Honda Brio Amaze บริโอ อเมซ ปี 2012 - เช็คราคา,2
M4DfwWMxtfw,2325,3,0,0,0,2009-11-14T11:39:27.000Z,New Disney Cruise Line Commercial,1
pmdx3JC_Mxo,15752,12,1,0,7,2010-08-20T00:44:37.000Z,Cold Fire Extinguisher Commercial,22
3YEbVL8PRK0,3052,5,0,0,3,2010-03-15T00:11:51.000Z,Compilation of 1987 TV Commercials,23
f2OalEiALsw,271271,385,66,0,86,2010-11-09T00:50:52.000Z,Nickelodeon 2010  USA,24
oNmTCuIV21Q,5924,15,2,0,2,2011-12-24T02:55:46.000Z,九州新幹線 CM イタリア旅 バージョン (歌詞),19
D4j0hzZM7J4,71722,54,14,0,5,2013-06-05T12:40:12.000Z,Sesame Street - The Most Important Meal of the Day,10
fI-Qpl7zZaA,4003,21,0,0,4,2014-02-19T16:41:59.000Z,TVS - Television South trailers & John Jason continuity TVS Olympics logo 1/10/88,24
42n-AG0odNE,6457,34,1,0,11,2014-11-22T10:24:30.000Z,1999 Reklama Wizja TV [PL],1
s8ngsvw8mME,11966,35,1,0,5,2010-10-06T12:03:39.000Z,alaska ace vintage commercial,22
kezTRVnp52Q,631244,424,74,0,51,2012-09-24T19:51:47.000Z,Brastemp Inverse Maxi,24
Pl3Lhh2ZNfI,110903,186,15,0,31,2011-08-11T01:30:08.000Z,corresponsal sub 20 2011(davivienda) v2,23
it3R-fGTRyA,4977,3,2,0,0,2013-09-24T09:18:14.000Z,【泣ける!!感動画CMシリーズ】aimemori「亡き父からのビデオレター　家族への想い」,24
MV1aJYKHvy4,3193,5,0,0,0,2012-03-29T19:35:32.000Z,إعلانات لمنتجات قديمة عام 90,10
ZFi5O8oJsa4,57270,61,11,0,0,2015-04-20T22:21:18.000Z,トヨタ TOYOTOWNドラえもん cm しずか3篇..かわいい＆見せます！。,1
UoooycQ-wIo,34847,113,2,0,20,2009-06-12T15:18:31.000Z,ガンプラ研究所　The Gunpla laboratory,24
Ibh2anFOWFI,19240,47,0,0,16,2011-11-26T17:54:15.000Z,90's Commercials Vol. 83,24
vTqOeL3n1lk,7788,19,1,0,1,2010-09-07T12:04:26.000Z,iklan indosat ramadhan 2010,24
jS4fyxqPbDY,10931,9,2,0,1,2013-11-07T08:29:00.000Z,1996年10月CM集,22
#NAME?,35636,49,3,0,6,2006-10-23T09:22:32.000Z,Mario World Wide Ads,24
UfDAFcsJJtw,4776,3,1,0,13,2010-07-13T13:04:26.000Z,1-1-1995 WUPW Commercial Break 1,24
yWFSpigxP2Y,7577,8,0,0,12,2009-08-13T20:56:11.000Z,Channel 4 | adverts | 10/10/1995,24
GgXeJO-RGJ0,3333,8,0,0,0,2014-02-23T01:17:23.000Z,Channel 4 Continuity 28th January 1996,24
4U-J_phQFrg,9125,7,0,0,3,2011-02-02T18:53:18.000Z,Kids WB commercial break 2,24
yw9ir-Lb3Os,5167,41,1,0,0,2013-11-22T01:18:02.000Z,Comerciais Japoneses - 2013 - #7,24
CFu6gk9tHzk,38567,34,2,0,3,2010-07-16T10:23:45.000Z,SAMURAI CODE　第７話,2
BCAbg-VcMns,20018,40,1,0,7,2013-12-23T12:51:25.000Z,エリシオンCM集,22
8F8iSSwg9Jc,30980,50,10,0,22,2011-04-24T21:58:22.000Z,"Werbung von damals (April 98\, RTL)",24
tJRZSXgDAPY,28631,21,10,0,14,2009-12-11T22:19:46.000Z,Obi Obadike's Weider X Factor National Commercial,24
cZZSc3KrxJc,17255,51,8,0,1,2012-11-11T10:50:14.000Z,სასაცილო რეკლამების ათეული (TOP 10 Commercial in 2012 ),23
n8s_jAKwBDs,276013,376,38,0,92,2013-02-23T10:40:39.000Z,1990年代 車のCM詰め合わせ（其の1）,2
Lu3ODcPxLz4,1501,9,1,0,0,2010-10-03T16:27:13.000Z,NEVER SAY NO TO PANDA!!!,24
5_DHJDfmhmg,1399,4,0,0,0,2012-02-14T22:04:10.000Z,水上温泉　アクアCM,19
w6n-TzlLVqs,37071,36,0,0,20,2010-06-19T23:26:28.000Z,Summer 2000 Cart00n N3tw0rk commercials (part 1 of 8),24
Xz8LYje22Dk,5279,6,1,0,0,2009-10-27T15:09:04.000Z,シアスタau CM　北陸version,10
BdPxflbbSSU,21267,48,5,0,2,2012-04-22T17:17:35.000Z,Helados MIKO - Saborea lo Bueno de la Vida,1
Ng26B9g3bUg,2421,23,0,0,3,2013-11-16T13:30:31.000Z,Intervalo: Jornal da Manchete - Porto Alegre/RS (08/07/1991) [1],24
gGljEo-gGek,2117,4,0,0,1,2014-06-14T01:37:13.000Z,Samsung GALAXY K zoom - Telcel condesa,22
hmcnFOSLQzg,6035,23,7,0,3,2013-12-10T13:29:32.000Z,ARIA TV ADVERTISEMENT Segment 1,29
BSCIATQqYzM,12743,17,3,0,8,2015-04-20T13:48:28.000Z,"Рекламный блок (НТВ\, 20.08.2005) [VHS-Rip]",22
v-ZyxVls_iM,32934,64,10,0,29,2009-02-18T10:12:32.000Z,Heather Parisi - Spot Fiat Duna,22
BiUjxsVeKmM,3705,53,3,0,1,2014-08-08T17:09:31.000Z,Copy of be human my respect for them,22
Ee4vpSnvxug,39785,59,11,0,24,2006-11-19T07:37:43.000Z,Chinese Pepsi Comercial,24
E-V18DNwy8M,2766,12,0,0,0,2014-02-03T16:19:20.000Z,HONDA CR-V CM,10
9DjZMxDjfCg,26156,65,9,0,37,2009-04-15T11:00:04.000Z,ShamWow Commercial (FULL),24
7tAXi0LC7ws,722486,2481,151,0,425,2010-01-19T20:33:17.000Z,1990-luvun parhaita suomalaisia mainoksia (Osa 4/5),24
AiADpyRBOB8,16670,24,2,0,19,2008-04-19T15:20:02.000Z,80s adverts and She-Ra intro,24
F42_add1lDQ,7783,16,3,0,0,2015-01-06T12:00:36.000Z,"Реклама (Первый канал\, 22.09.2002). 3",10
RCUOeVXgMGA,1133,2,0,0,2,2008-11-14T15:46:17.000Z,André Pires,24
JDSPPSihuSY,1696,6,1,0,0,2009-02-25T01:28:01.000Z,Welcome to Korea: Dynamic Korea,19
qoye1v6SsHE,2514,15,0,0,12,2010-03-20T18:29:22.000Z,VINTAGE TV GUIDE COMMERCIALS,24
vdyW2OpvseY,5653,6,1,0,1,2014-11-01T12:50:31.000Z,Opening To Elizabeth 1999 VHS,22
8_LisWFdaKc,1380637,129,21,0,22,2015-07-01T14:49:45.000Z,Uncle Ben's Rice and Grains - Commuting,22
DiUGUVyCIiQ,2684,4,1,0,3,2011-07-22T00:40:08.000Z,Werbeblock - vox - März / April 1994,24
XwzRJm3ykUE,396489,874,125,0,147,2012-03-13T07:57:28.000Z,How Ba-a-a-ad can I be AMV,24
bWi1mx0L83E,1810,6,0,0,0,2014-12-10T18:26:02.000Z,"Mariachis en Lima-Cumple de MIchelle Soifer--Comercial de TV con Yaco en \Esto es Guerra\""""",22
t5DQ6dwb4IA,4079,21,4,0,0,2012-05-26T20:03:25.000Z,los mejores comerciales mas graciosos del mundo,23
RkQpm3vCrug,17988,8,2,0,2,2010-03-25T16:41:08.000Z,American Airlines Commercial,19
wrrfNRvAJKI,46595,346,11,0,78,2008-08-03T01:49:22.000Z,A Tribute to Wilford Brimley,23
IiX_PM0VDSc,4630,15,1,0,0,2014-05-30T16:06:40.000Z,"Реклама (ОРТ\, май 1999)",1
uK-9HPCy8zE,4174,9,1,0,0,2015-03-11T23:33:26.000Z,Opening To Sherlock:Undercover Dog 2004 VHS,1
3kcjOYJRtkc,2318,11,1,0,1,2012-09-13T06:16:50.000Z,Renault Mégane Coupe Cabriolet Commercial -  رينو ميجان كوبيه كابريوليه,2
dwT_pyiEEsM,11486,13,0,0,3,2010-09-21T09:24:07.000Z,Trailer JACUZZI - O DESASTRE DO TEMPO PT,24
2poJ6wQ9tzI,14599,17,2,0,1,2011-02-20T23:39:45.000Z,Winter 1997 Cart00n N3tw0rk break (part 18),24
HJ_t5dTCgvg,28049,51,2,0,4,2011-01-05T21:44:47.000Z,alte Werbung Werbeblock 1992 ARD SDR mit Äffle und Pferdle,1
AUc-kDZgiGc,9546,22,2,0,2,2013-01-04T13:17:01.000Z,Crossroads (2002) - trailer,24
s7XjR4s77z8,2930,5,0,0,0,2012-05-10T00:09:31.000Z,"Fox November 23\,1997 Commercials Part 2",24
CnDdOXBf7fA,14581,47,2,0,8,2014-11-10T23:31:42.000Z,جهاز صناعة الايس كريم والعصائر بوظة منزلية Dessert Bullet,28
NwAA7pyali4,40929,90,8,0,5,2015-08-20T07:48:04.000Z,Huawei Honor 7i Commercial,28
GZN15hka-Jc,1430,3,0,0,3,2010-12-20T01:26:25.000Z,"Tanda Navideña de XHPMI\, en simulcast con Fantoon Televisión México",24
D-sNx4dg_wg,11484,NULL,NULL,0,44,2015-08-15T16:37:43.000Z,90's Commercials Vol. 144,24
ExYprrg8jXE,1494,0,0,0,2,2011-05-07T13:24:48.000Z,Channel 4 Adverts 1997 (6),24
9gBtZ5uVnEY,2870,4,0,0,4,2013-06-22T02:32:30.000Z,"1989 Commercials/Promos #6 (November 11th\, 1989\, NBC)",1
Bj0mO-_uDJ4,2274,6,1,0,1,2013-06-19T04:38:53.000Z,Quảng Cáo Bá đạo - Never say no to Panda!,22
jqJBQLE_Y80,36766,17,2,0,8,2013-08-22T00:29:03.000Z,Blue's Big Monday Commercial Break ( Part 2 of 10 ),24
VSAqW6H5eAI,3208,8,1,0,3,2011-09-14T19:50:22.000Z,Pringles Campaign,24
L5Ic44bcmtE,11227,41,0,0,4,2007-12-19T07:42:34.000Z,麥當勞SHAKE SHAKE薯條電視廣告2007製作特輯 - 容祖兒,24
S1jhDK0uKwE,3304,10,1,0,0,2013-04-25T05:59:36.000Z,Comerciales para Radio,10
Wk6U_niu6Zw,7377,14,0,0,0,2014-10-24T15:00:12.000Z,どうぶつの森プラス・カードeプラス＆リーダー CM集,20
CGeSoY9HX24,2389,8,0,0,1,2011-01-12T00:02:02.000Z,Newcastle Knights entry to the NSWRL premiership,17
59UKsOVwEpo,17926,42,6,0,10,2013-02-02T09:13:33.000Z,The Hub (USA) Ads and Continuity (26th January 2013) (3),24
2hHvT9VAm3s,3405,2,2,0,1,2011-07-19T02:23:05.000Z,"Ads@6 One News\, 14 July  2011",24
eUxzWAuPs0M,1283,0,0,0,0,2011-03-21T16:40:37.000Z,freedom!! 3/27 CM,10
cEh20LxbHgE,12179,24,1,0,2,2014-08-21T07:04:57.000Z,TVC M-150 Year 2543,22
bhOL-5F6CMs,8696,19,1,0,8,2012-02-06T12:36:11.000Z,SuperBowl 46 Best Commercials,24
dERLaBpCvKo,4426,4,1,0,0,2011-02-16T19:25:05.000Z,Comerciales del 2011 - Parte 14,24
qFPaqcKgjnA,1827,0,0,0,3,2011-12-06T13:52:35.000Z,Carlton Adverts 1996 (14),24
TiWx8OEElvk,40278,11,2,0,2,2009-08-28T07:05:23.000Z,donde esta elisa capitulo 74 parte 1,1
kTlKf3NTBF0,6673,14,0,0,18,2011-08-30T03:00:25.000Z,Comerciales XEQ (1991) 4.,24
A6N5gBwF8Vs,2879,12,0,0,0,2011-09-20T19:25:17.000Z,Wolf Rain Adult Swim Break Between Ep 1,24
w0oJEF3p8AQ,9020,30,1,0,0,2010-01-24T08:21:05.000Z,aahana: Tata capital tv commercial,24
-1ZDhv6QNJ8,6173,91,0,0,21,2015-05-29T18:11:02.000Z,Worst Commercials Ever!,24
jdEra599Cnc,27130,38,8,0,8,2012-09-13T09:17:54.000Z,Wingle 5,2
KQrCWy3zbIM,53459,94,8,0,20,2013-08-10T09:54:58.000Z,アニマックスの番宣集,1
Ft7Vi3tEjCc,10469,18,4,0,0,2006-11-15T14:31:45.000Z,小貓咪要快快長大喔,15
